Number of documents in corpus,Document ID,Document,Number of Sentences in Document,Number of Words in Document,Number of Syllables in Document,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5,Word6,Frequency6,Word7,Frequency7,Word8,Frequency8,Word9,Frequency9,Word10,Frequency10,Word11,Frequency11,Word12,Frequency12,Word13,Frequency13,Word14,Frequency14,Word15,Frequency15,Word16,Frequency16,Word17,Frequency17,Word18,Frequency18,Word19,Frequency19,Word20,Frequency20
987,425,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-104.5.1-Fire_and_Law_Enforcement_Personnel..txt"")",4,90,142,code,7,of,7,the,7,.,4,fire,4,this,4,",",4,and,3,official,3,to,3,authorized,2,by,2,as,2,in,2,law,2,enforcement,2,104.5.1,1,-,1,Fire,1,Law,1
987,426,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-104.9-Alternative_Materials_and_Methods..txt"")",5,157,279,of,13,",",9,.,8,the,8,to,6,be,5,by,5,and,4,equipment,4,method,4,shall,4,for,3,an,3,or,3,made,3,any,3,alternative,3,request,3,use,2,material,2
987,427,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.4.2-Information_on_Construction_Documents..txt"")",7,135,214,the,14,of,9,",",9,.,7,and,7,shall,4,to,4,on,3,Construction,3,documents,3,be,3,code,3,by,2,fire,2,official,2,location,2,proposed,2,plans,2,address,2,property,2
987,428,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.4.4.2-Expiration_of_Construction_Documents_Approval_by_Fire_Code_Official_When_No_Building_Permit_Issued..txt"")",9,202,362,the,13,",",11,.,9,construction,6,approval,6,for,6,and,6,by,5,official,5,document,5,a,5,be,5,shall,5,applicant,5,of,4,fire,4,code,4,building,4,Construction,3,permit,3
987,429,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.4.6-Retention_of_Construction_Documents..txt"")",4,90,128,of,8,the,7,.,4,set,3,shall,3,be,3,work,3,",",3,One,2,construction,2,documents,2,by,2,or,2,and,2,105.4.6,1,-,1,Retention,1,Construction,1,Documents,1,retained,1
987,430,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.1.1-Activities_in_Hazardous_Fire_Areas..txt"")",4,28,43,.,3,in,2,of,2,105.6.1.1,1,-,1,Activities,1,Hazardous,1,Fire,1,Areas,1,An,1,operational,1,permit,1,is,1,required,1,for,1,any,1,the,1,activities,1,as,1,described,1
987,431,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.14-Explosives..txt"")",7,208,338,",",24,of,13,or,12,.,9,and,8,for,6,the,5,California,5,-,4,is,4,use,4,less,4,storage,3,handling,3,Chapter,3,Code,3,arms,3,powder,3,State,3,Explosives,2
987,432,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.16-Flammable_and_Combustible_Liquids..txt"")",9,124,202,",",18,.,16,-,4,and,4,permit,3,tank,3,or,3,to,3,for,3,a,3,is,2,required,2,To,2,wells,2,flammable,2,combustible,2,the,2,in,2,of,2,(,2
987,433,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.20-Hazardous_Materials..txt"")",6,71,108,",",8,.,4,of,4,permit,3,required,3,the,3,105.6.20,2,to,2,in,2,by,2,and,2,code,2,-,1,Hazardous,1,Materials,1,An,1,operational,1,is,1,store,1,transport,1
987,434,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.22-High-piled_Combustible_Storage..txt"")",4,83,122,of,6,the,5,.,4,a,4,and,4,-,3,to,3,",",3,piled,2,storage,2,(,2,),2,be,2,105.6.22,1,High,1,Combustible,1,Storage,1,An,1,operational,1,permit,1
987,435,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.27-LP-gas..txt"")",8,163,281,-,10,.,9,of,7,LP,5,not,5,(,5,),5,capacity,5,or,5,gas,4,permit,4,is,4,required,4,for,4,a,4,outdoor,4,water,4,and,3,A,3,non-portable,3
987,436,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.29.1-Model_Rockets..txt"")",3,35,64,.,3,-,2,rocket,2,motor,2,",",2,105.6.29.1,1,Model,1,Rockets,1,An,1,operational,1,permit,1,is,1,required,1,to,1,operate,1,a,1,model,1,or,1,an,1,experimental,1
987,437,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.3.1-Battery_System..txt"")",4,34,55,.,4,-,2,(,2,),2,105.6.3.1,1,Battery,1,System,1,An,1,operational,1,permit,1,is,1,required,1,to,1,install,1,or,1,operate,1,stationary,1,lead,1,acid,1,battery,1
987,438,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.3.2-Bonfires_or_Rubbish_Fires..txt"")",4,32,49,or,5,.,4,105.6.3.2,1,-,1,Bonfires,1,Rubbish,1,Fires,1,An,1,operational,1,permit,1,is,1,required,1,to,1,kindle,1,maintain,1,authorize,1,the,1,kindling,1,maintenance,1,of,1
987,439,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.33.1-Pallet_Yards..txt"")",3,33,51,",",4,.,3,or,2,105.6.33.1,1,-,1,Pallet,1,Yards,1,An,1,operational,1,permit,1,is,1,required,1,to,1,store,1,manufacture,1,refurbish,1,otherwise,1,handle,1,greater,1,than,1
987,440,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.33.2-Parade_Floats..txt"")",4,28,48,",",5,.,4,parade,2,105.6.33.2,1,-,1,Parade,1,Floats,1,An,1,operational,1,permit,1,is,1,required,1,to,1,use,1,a,1,float,1,for,1,public,1,performance,1,presentation,1
987,441,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.34.1-Private_Fire_Fighting_Resources..txt"")",3,41,75,.,3,to,3,",",3,firefighting,2,operations,2,fire,2,or,2,105.6.34.1,1,-,1,Private,1,Fire,1,Fighting,1,Resources,1,An,1,operational,1,permit,1,is,1,required,1,for,1,any,1
987,442,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.36-Pyrotechnic_Special_Effects_Material..txt"")",4,40,73,.,4,",",4,and,3,for,2,pyrotechnic,2,special,2,effects,2,(,2,),2,105.6.36,1,-,1,Pyrotechnic,1,Special,1,Effects,1,Material,1,An,1,operational,1,permit,1,is,1,required,1
987,443,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.37.1-Recreational_Fire..txt"")",3,32,50,.,3,is,2,",",2,105.6.37.1,1,-,1,Recreational,1,Fire,1,An,1,operational,1,permit,1,required,1,for,1,an,1,outdoor,1,fire,1,burning,1,materials,1,other,1,than,1,rubbish,1
987,444,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.39.1-Rifle_Range..txt"")",3,20,32,.,3,",",3,105.6.39.1,1,-,1,Rifle,1,Range,1,An,1,operational,1,permit,1,is,1,required,1,to,1,establish,1,maintain,1,or,1,operate,1,a,1,rifle,1,range,1,(,1
987,445,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.43.1-Temporary_Sales_Lots..txt"")",3,23,36,.,3,105.6.43.1,1,-,1,Temporary,1,Sales,1,Lots,1,An,1,operational,1,permit,1,is,1,required,1,prior,1,to,1,operating,1,a,1,Christmas,1,tree,1,or,1,pumpkin,1,sales,1
987,446,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.47-Additional_Permits..txt"")",23,328,586,",",33,.,25,and,15,to,14,the,12,or,11,permit,11,required,8,in,7,is,7,of,6,production,6,-,5,Section,5,prior,5,Production,5,for,4,Commercial,4,The,4,applicant,4
987,447,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.6.9-Covered_and_Open_Mall_Buildings..txt"")",7,70,100,.,10,of,6,-,5,The,4,",",4,mall,4,and,3,equipment,3,in,3,the,3,displays,2,or,2,use,2,flame,2,a,2,105.6.9,1,Covered,1,Open,1,Mall,1,Buildings,1
987,448,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.7.10.1-Land_Development_Plan_Review..txt"")",3,65,112,",",12,.,3,maps,3,reviews,3,required,2,review,2,and,2,approval,2,final,2,design,2,105.7.10.1,1,-,1,Land,1,Development,1,Plan,1,Review,1,When,1,by,1,law,1,or,1
987,449,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.7.11-LP-Gas..txt"")",3,24,40,.,4,-,3,LP,2,105.7.11,1,Gas,1,A,1,construction,1,permit,1,is,1,required,1,for,1,installation,1,of,1,or,1,modification,1,to,1,an,1,gas,1,system,1,Also,1
987,450,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.7.12.1-Roof_Gardens_and_Landscaped_Roofs..txt"")",3,30,45,.,3,and,2,or,2,a,2,roof,2,",",2,105.7.12.1,1,-,1,Roof,1,Gardens,1,Landscaped,1,Roofs,1,The,1,fire,1,code,1,official,1,shall,1,review,1,approve,1,in,1
987,451,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.7.13-Solar_Photovoltaic_Power_Systems..txt"")",3,27,50,.,3,105.7.13,1,-,1,Solar,1,Photovoltaic,1,Power,1,Systems,1,The,1,fire,1,code,1,official,1,shall,1,review,1,and,1,approve,1,the,1,installation,1,or,1,modification,1,of,1
987,452,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-105.7.8.1-Fuel_Modification_Plan_Review..txt"")",3,36,61,",",4,.,3,by,3,required,2,code,2,other,2,fire,2,105.7.8.1,1,-,1,Fuel,1,Modification,1,Plan,1,Review,1,When,1,this,1,laws,1,or,1,regulating,1,agencies,1,official,1
987,453,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-107.6-Occupant_Count..txt"")",4,91,145,the,6,of,6,an,5,.,4,",",3,assembly,3,accurate,3,count,3,occupants,3,by,2,fire,2,code,2,official,2,permittee,2,a,2,place,2,shall,2,room,2,any,2,accessory,2
987,454,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-108-APPEALS.txt"")",1,2,3,108,1,-,1,APPEALS,1
987,455,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-108.1-Appeals_Process..txt"")",9,213,355,the,27,",",14,of,12,fire,11,.,8,code,7,decision,7,applicant,6,a,4,written,4,appeal,4,to,4,marshal,4,shall,4,appeals,4,panel,4,chief,3,be,3,The,3,review,3
987,456,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-108.2-Limitations_on_Authority..txt"")",5,95,148,the,6,.,5,of,4,code,4,",",4,applicant,3,that,3,this,3,or,3,an,3,on,2,appeal,2,shall,2,be,2,not,2,was,2,by,2,appeals,2,process,2,requirements,2
987,457,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-108.3-Qualifications..txt"")",2,31,50,of,4,.,3,the,3,",",3,deputy,2,chief,2,108.3,1,-,1,Qualifications,1,The,1,fire,1,code,1,appeals,1,review,1,panel,1,shall,1,consist,1,prevention,1,operations,1,and,1
987,458,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-109.4-Violation_Penalties..txt"")",5,140,213,of,11,",",11,a,8,or,8,shall,6,.,5,this,4,code,4,the,4,be,4,to,3,violation,3,by,3,who,2,such,2,fine,2,not,2,imprisonment,2,109.4,1,-,1
987,459,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-109.4.1-Abatement_of_Violation..txt"")",4,101,162,",",10,of,8,to,7,or,7,.,4,a,4,the,3,is,2,prevent,2,;,2,illegal,2,occupancy,2,structure,2,premises,2,any,2,nuisance,2,for,2,109.4.1,1,-,1,Abatement,1
987,460,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-109.5-Responsibility_for_Fire_Suppression_and_Related_Costs..txt"")",4,292,459,",",32,the,20,a,16,or,12,of,12,to,12,for,10,fire,10,law,6,by,6,and,5,in,5,hazard,5,costs,5,.,4,person,4,(,4,),4,public,4,who,3
987,461,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-109.5.1-Responsibility_for_Costs_for_Emergency_Response_Related_to_Hazardous_Substances..txt"")",7,198,316,the,19,to,10,of,9,.,8,",",8,a,6,or,6,and,5,person,5,incident,4,in,4,public,3,by,3,hazardous,3,substances,3,charge,3,against,3,for,2,an,2,necessary,2
987,462,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-110.1.1-Unsafe_Conditions..txt"")",4,91,164,or,10,",",8,.,4,unsafe,3,which,3,are,2,of,2,inadequate,2,as,2,shall,2,be,2,deemed,2,110.1.1,1,-,1,Unsafe,1,Conditions,1,Structures,1,existing,1,equipment,1,that,1
987,463,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-1103.2-Emergency_Responder_Radio_Coverage_in_Existing_Buildings..txt"")",7,114,198,the,10,.,7,coverage,4,of,4,",",4,not,3,is,3,in,2,Existing,2,that,2,approved,2,radio,2,building,2,existing,2,communication,2,be,2,with,2,:,2,1,2,system,2
987,464,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-1104.16.7-Maintenance..txt"")",2,25,34,.,3,shall,2,be,2,and,2,1104.16.7,1,-,1,Maintenance,1,Fire,1,escapes,1,kept,1,clear,1,unobstructed,1,at,1,all,1,times,1,maintained,1,in,1,good,1,working,1,order,1
987,465,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-1105.1-Tire_Storage_Yards..txt"")",4,27,40,.,4,with,2,1105.1,1,-,1,Tire,1,Storage,1,Yards,1,Existing,1,tire,1,storage,1,yards,1,shall,1,be,1,provided,1,fire,1,apparatus,1,access,1,roads,1,in,1,accordance,1
987,466,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-1105.1.1-Access_to_Piles..txt"")",3,39,48,.,3,(,3,),3,storage,3,Access,2,feet,2,mm,2,any,2,",",2,1105.1.1,1,-,1,to,1,Piles,1,roadways,1,shall,1,be,1,within,1,150,1,"45,720",1,of,1
987,467,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-1105.1.2-Location_Within_Piles..txt"")",4,32,49,.,3,within,2,all,2,in,2,Section,2,1105.1.2,1,-,1,Location,1,Within,1,Piles,1,Fire,1,apparatus,1,access,1,roads,1,shall,1,be,1,located,1,pile,1,clearances,1,identified,1
987,468,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-111.1-Order..txt"")",3,88,134,or,8,the,7,",",6,code,5,.,4,a,4,to,4,fire,3,official,3,work,3,is,3,any,2,this,2,in,2,manner,2,of,2,authorized,2,order,2,111.1,1,-,1
987,469,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-111.4-Failure_to_Comply..txt"")",4,68,108,to,4,",",4,.,3,work,3,or,3,person,2,shall,2,a,2,as,2,111.4,1,-,1,Failure,1,Comply,1,Any,1,who,1,continue,1,any,1,after,1,having,1,been,1
987,470,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2007.10-Helistops_in_Fire_Hazard_Severity_Zones..txt"")",2,11,15,.,2,2007.10,1,-,1,Helistops,1,in,1,Fire,1,Hazard,1,Severity,1,Zones,1,(,1,Ord.,1,2014-0014,1,§,1,160,1,",",1,2014,1,),1
987,471,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2007.10.1-Surface..txt"")",2,37,55,",",4,-,3,.,3,a,2,100,2,foot,2,with,2,of,2,2007.10.1,1,Surface,1,When,1,required,1,by,1,the,1,fire,1,code,1,official,1,graded,1,x,1,pad,1
987,472,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2007.10.2-Hydrant..txt"")",2,31,43,.,3,the,3,fire,3,by,2,code,2,official,2,",",2,2007.10.2,1,-,1,Hydrant,1,When,1,required,1,a,1,hydrant,1,shall,1,be,1,installed,1,adjacent,1,to,1,graded,1
987,473,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2007.10.3-Access..txt"")",2,30,45,.,3,the,2,fire,2,",",2,2007.10.3,1,-,1,Access,1,When,1,required,1,by,1,code,1,official,1,a,1,apparatus,1,access,1,road,1,leading,1,to,1,helistop,1,shall,1
987,474,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2007.9-Helistops_for_High-Rise_Buildings..txt"")",4,48,76,.,4,-,3,the,3,of,3,shall,2,be,2,constructed,2,and,2,Code,2,2007.9,1,Helistops,1,for,1,High,1,Rise,1,Buildings,1,An,1,approved,1,helistop,1,provided,1,on,1
987,475,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-202-GENERAL_DEFINITIONS.txt"")",56,1185,2113,.,126,",",90,the,53,or,51,of,50,to,29,and,25,a,24,fire,21,hazardous,21,in,17,is,12,materials,12,which,11,mean,11,for,11,waste,10,that,9,as,9,Shall,8
987,476,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2108.5-Smoking..txt"")",4,33,49,.,5,-,2,Smoking,2,in,2,shall,2,be,2,rooms,2,2108.5,1,dry,1,cleaning,1,plants,1,only,1,within,1,designated,1,smoking,1,NO,1,SMOKING,1,signs,1,posted,1,containing,1
987,477,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2204.2-Separators..txt"")",2,38,68,",",6,.,3,be,2,of,2,machines,2,2204.2,1,-,1,Separators,1,Approved,1,magnetic,1,or,1,pneumatic,1,separators,1,shall,1,installed,1,ahead,1,shellers,1,crackers,1,crushers,1,grinding,1
987,478,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2204.3-Dust_Collection..txt"")",3,37,71,-,4,.,3,dust,3,machinery,3,the,3,equipment,2,be,2,2204.3,1,Dust,1,Collection,1,Suitable,1,collecting,1,shall,1,installed,1,on,1,all,1,producing,1,and,1,interlocked,1,with,1
987,479,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2204.4-Electrical_Grounding..txt"")",6,85,154,.,6,and,5,in,4,shall,4,be,4,with,4,",",4,-,3,Electrical,3,or,3,accordance,3,dust,2,by,2,electricity,2,the,2,Code,2,parts,2,of,2,grounds,2,2204.4,1
987,480,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2404.4-Fire_Protection..txt"")",5,77,121,.,5,shall,3,automatic,3,fire,3,system,3,with,3,",",3,-,2,Protection,2,Spray,2,booths,2,and,2,spray,2,be,2,protected,2,an,2,exhaust,2,of,2,filters,2,when,2
987,481,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2408.5-Sources_of_Ignition..txt"")",5,51,79,",",5,.,4,shall,3,be,3,in,3,areas,2,where,2,organic,2,peroxides,2,are,2,stored,2,mixed,2,or,2,applied,2,2408.5,1,-,1,Sources,1,of,1,Ignition,1,Smoking,1
987,482,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2504.6-Smoking..txt"")",3,28,41,.,3,",",3,shall,2,be,2,in,2,2504.6,1,-,1,Smoking,1,NO,1,SMOKING,1,signs,1,posted,1,at,1,every,1,entrance,1,compliance,1,with,1,Section,1,310.3,1,and,1
987,483,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2602.1-Definitions..txt"")",2,19,39,.,7,2602.1,1,-,1,Definitions,1,The,1,following,1,terms,1,are,1,defined,1,in,1,Chapter,1,2,1,FUMIGANT,1,FUMIGATION,1,FUMIGATOR,1,INSECTICIDAL,1,FOGGING,1,(,1,Ord.,1,2014-0014,1
987,484,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2803.3.3-Combustible_Waste..txt"")",3,26,44,.,3,",",3,and,2,of,2,2803.3.3,1,-,1,Combustible,1,Waste,1,The,1,storage,1,accumulation,1,handling,1,combustible,1,materials,1,control,1,vegetation,1,shall,1,be,1,in,1,accordance,1
987,485,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810-STORAGE_OF_COMBUSTIBLE_IDLE_PALLETS.txt"")",2,10,13,2810,1,-,1,STORAGE,1,OF,1,COMBUSTIBLE,1,IDLE,1,PALLETS,1,(,1,Ord.,1,2014-0014,1,§,1,173,1,",",1,2014,1,.,1,),1
987,486,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.1-General..txt"")",2,18,26,.,3,2810.1,1,-,1,General,1,Storage,1,of,1,combustible,1,idle,1,pallets,1,shall,1,be,1,in,1,accordance,1,with,1,this,1,section,1,(,1,Ord.,1,2014-0014,1,§,1
987,487,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.2-Storage_Location..txt"")",3,29,45,.,3,stored,2,in,2,2810.2,1,-,1,Storage,1,Location,1,Pallets,1,shall,1,be,1,outside,1,or,1,a,1,separate,1,building,1,designed,1,for,1,pallet,1,storage,1,unless,1
987,488,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.3-Indoor_Storage..txt"")",5,65,99,.,4,storage,4,in,4,-,3,(,3,),3,for,2,other,2,the,2,high,2,does,2,not,2,exceed,2,feet,2,2810.3,1,Indoor,1,Storage,1,Pallet,1,a,1,building,1
987,489,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.4-Outdoor_Storage..txt"")",23,173,236,(,18,),17,m,16,",",8,and,7,50,6,with,5,20,5,6.1,5,Storage,4,Pallets,4,outside,4,in,4,Table,4,200,4,30,4,9.2,4,-,3,.,3,pallets,3
987,490,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.5-Outdoor_Pile_Dimensions..txt"")",8,64,82,.,6,shall,5,(,5,),5,feet,4,m,4,be,3,Pallet,2,stacks,2,Piles,2,a,2,minimum,2,of,2,2810.5,1,-,1,Outdoor,1,Pile,1,Dimensions,1,not,1,exceed,1
987,491,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-2810.6-Fire_Department_Access..txt"")",3,22,35,.,3,Fire,2,",",2,2810.6,1,-,1,Department,1,Access,1,department,1,access,1,roadways,1,shall,1,be,1,provided,1,and,1,maintained,1,in,1,accordance,1,with,1,Section,1,503,1
987,492,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-301.2-Permits..txt"")",3,32,44,",",7,.,3,Permits,2,301.2,1,-,1,shall,1,be,1,required,1,as,1,set,1,forth,1,in,1,Section,1,105.6,1,for,1,the,1,activities,1,or,1,uses,1,regulated,1
987,493,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-304.1.1-Waste_Material..txt"")",3,65,102,",",19,or,7,.,3,-,2,of,2,any,2,a,2,lot,2,304.1.1,1,Waste,1,Material,1,Accumulations,1,wastepaper,1,wood,1,hay,1,straw,1,weeds,1,litter,1,combustible,1,flammable,1
987,494,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_32-FIRE_CODE*-304.1.2-Vegetation..txt"")",3,55,90,",",5,.,4,of,3,and,3,-,2,Vegetation,2,or,2,shall,2,be,2,the,2,in,2,304.1.2,1,Weeds,1,grass,1,vines,1,other,1,growth,1,that,1,is,1,capable,1
